OBJECTID,NAME,GlobalID,ShapeSTArea,ShapeSTLength
1,Bethel,{DC3228F7-7F5B-412C-97F8-0E36D5C67BD6},1147388477.19922,212853.272581511
2,G R Whitfield,{3ECBD177-F1E4-49A2-B142-CF6EF7CA2E4D},965899547.733154,225810.234137415
3,Hope MS,{E49847F3-96C7-4FF5-A0A0-FF32DC427B45},470862864.90332,150272.427684594
4,A G Cox MS,{F51599F3-ABC8-4E1F-BD19-E616F6060752},480871837.01355,162479.655143951
5,Ayden MS,{8CFED08A-DD0E-4CAA-B5FA-6619BD1BCFCA},1364539042.64636,252858.432210533
6,E B Aycock MS,{6A733177-EBD0-488E-835A-D8EC5C97CE9F},321609025.000977,109066.059430124
7,Farmville MS,{11B9679F-4CC4-4148-86A3-E195897A6333},4067899218.46936,345902.817276121
8,Chicod,{0F7F27F0-CE63-4AE0-AF2E-E96DF066E10A},2508952440.6853,307239.962158475
9,Grifton,{36C9560D-3079-495C-97A8-6D8836F55F55},1372886007.98523,222364.623192781
10,Stokes,{DE51AA75-93BB-4D0C-B76C-D7B45C50BC72},1419487040.28149,290256.479811628
11,Pactolus,{9BF8D2D8-22B8-48A7-8ED8-5E326647BA6F},1760027249.20276,342020.379047306
12,C M Eppes MS,{E5531C8F-FA1E-451A-AA2E-AECB4A434469},381470050.42981,146610.889474697
13,Wellcome MS,{75E64E1D-A2DD-4D38-AD73-B009893DFBBD},2005867321.07642,278582.76410815
