OBJECTID,NAME,PRECINCT_NUMBER,GlobalID,ShapeSTArea,ShapeSTLength
1,ARTHUR,0101,{1E90B786-A478-4A38-A6FE-CB62A1238520},919096586.497681,178528.379978433
2,AYDEN A,0200A,{97F53228-F074-4A32-8BBF-4BC341F2FAD6},588692487.521973,132461.091992068
3,AYDEN B,0200B,{77049E11-5F1D-41F9-B790-5E3945935A5B},365328981.541626,100328.936128082
4,BELVOIR,0301,{B31C69E7-AA24-4280-9C03-8B25178BD6AD},1511278541.60706,208844.138369452
5,BETHEL,0401,{081C23AC-E0EF-4915-B2E8-1B21FC6F3A5B},1162092099.77063,169765.223269331
6,CAROLINA,0501,{444C77EE-5B7B-4089-B0CB-038C194D7AB6},1638887191.37231,263013.660577906
7,CHICOD,0601,{FF11B66D-EEED-422C-A0F8-A8C82FF3CFB4},1793809368.96069,214751.861250577
8,FALKLAND,0701,{4E55CFA5-AD3E-483C-B1BE-49FFF70F73FB},1170640253.80786,200600.63277778
9,FARMVILLE A,0800A,{B451E64D-E3EB-487B-8BC8-24DB0AE832DB},538225548.519287,123341.739502414
10,FARMVILLE B,0800B,{DF8F2A84-BEA0-475C-941A-5F682615446E},480993891.34375,106942.201855962
11,FOUNTAIN,0901,{4BD27209-0445-497D-99C9-4C150A6C8EDB},740115135.051758,155131.256833901
12,GRIFTON,1001,{45BE6436-4B4E-4290-BB05-EA9A18C93F45},1251420584.78784,170220.843739271
13,GRIMESLAND,1101,{FA47A49E-1487-4D72-BA03-21C0203CBAF2},682476432.476929,149274.709937323
14,SIMPSON A,1102A,{B94F6230-8DA5-44FC-83CE-CA636A24926F},121131996.505859,54695.285130027
15,SIMPSON B,1102B,{02E1A46F-3543-483F-AB1E-8844762FA19B},480473437.490234,144110.600221909
16,PACTOLUS,1201,{2C6A5A4B-FB86-4F2E-AAAC-DC638428A2D6},1910510804.16736,339644.76331539
17,SWIFT CREEK,1301,{A91F6248-AA21-46DE-AC82-340BB9FF8EAA},871478991.993408,153733.263784078
18,WINTERVILLE WEST,1403A1,{771D7552-6FBF-4415-BEBF-E4887A5596C4},416371656.297607,107852.952445633
19,WINTERVILLE SOUTH,1403A2,{556818FF-ED02-455A-8DC9-5E9233505194},267018003.388794,83096.1132289569
20,WINTERVILLE NORTH,1403B,{56CC4E03-EFF4-4DD9-B1A5-32802B55D6BE},72369270.8919678,34599.703859961
21,GREENVILLE  1,1501,{B3132FF5-BF3B-4241-8B99-B88CE8C4CA4A},173139850.196655,90608.6284729698
22,GREENVILLE  3,1503,{9DE91428-25AA-4750-99E1-457A8BE780D5},46028751.6741943,37764.3106925439
23,GREENVILLE  4A,1504A,{65914A54-FB2E-4A44-AFC2-EF3F458B393B},70838226.4685059,49969.3860262414
24,GREENVILLE  4B,1504B,{E2390386-9099-42DD-AA48-6D97F0B0CCF1},81455319.3685303,47725.3399811045
25,GREENVILLE  5A,1505A,{6CC2396B-94B9-4026-83C6-E34C60BFE28B},47302579.5238037,33681.0688762526
26,GREENVILLE  5B,1505B,{C2ED0AC4-3BFC-40E4-80AC-3337FAB0FA49},42130116.4993896,32132.4625531731
27,GREENVILLE  6,1506,{BE0D5160-BB44-4960-AA4E-DB3B4FF64FC4},38701829.5463867,31923.9703600184
28,GREENVILLE  7,1507,{C921D8E2-135F-49F8-8F36-5ABCE0A77345},35146804.1604004,36453.3482810895
29,GREENVILLE  7B,1507B,{107ABF56-AF47-43A0-8D61-85CA625670E4},10756429.7542725,15765.0747669324
30,GREENVILLE  8A,1508A,{FF1ED597-6294-4A0C-8FF6-B2BA005919E9},12389715.5112305,17879.5536861969
31,GREENVILLE  8B,1508B,{37437834-5D30-452E-B1B3-A10780721D10},23901110.144043,28183.1947855095
32,GREENVILLE  9,1509,{D19AF768-AEBF-453E-90AF-B9D83A6A6829},128997947.592773,70227.0368275763
33,GREENVILLE  10A,1510A,{896050F3-0A50-4C99-B744-BBE5DB0D5C8C},32676032.8093262,26256.0922537144
34,GREENVILLE  10B,1510B,{20F1D054-52CF-4A47-A925-82FB59D392F4},29378910.5649414,27494.7674738385
35,GREENVILLE  11A,1511A,{F9388B4F-43D8-424B-9B5A-9DCA6D2BC380},50316447.8353271,33022.38990409
36,GREENVILLE  11B,1511B,{9493E2F7-13E3-41C3-A31B-0D6B0229DDF2},41308474.3383789,30990.5563095009
37,GREENVILLE  12A,1512A,{B2817C59-42B5-4820-8B07-A6E4918D0124},131669512.305054,49366.6127604459
38,GREENVILLE  12B,1512B,{D6F9D9E4-8099-4751-9121-5E96989C1E2F},41309523.3817139,27012.1678958974
39,GREENVILE  13A,1513A,{5F8AABE7-B5EE-4A63-9C05-91572CE38CD4},126645942.509766,69617.4766131779
40,GREENVILLE  13B,1513B,{69A2BDA3-49BC-4286-9668-B384DA59257B},125186219.181396,78736.6721463623
